Feature	Loci	Source	Category	DisplayShort	DisplayUnique	Gradient
Cells_CP_Intensity_MedianIntensity_KRT5Norm	Cells	CP	Intensity	Median KRT5 Intensity	Median KRT5 Intensity (Cells)	FALSE
Cytoplasm_CP_Intensity_IntegratedIntensity_KRT19Norm	Cytoplasm	CP	Intensity	Integrated KRT19 Intensity	Integrated KRT19 Intensity (Cytoplasm)	FALSE
Cytoplasm_CP_Intensity_IntegratedIntensity_KRT5Norm	Cytoplasm	CP	Intensity	Integrated KRT5 Intensity	Integrated KRT5 Intensity (Cytoplasm)	FALSE
Cytoplasm_CP_Intensity_MedianIntensity_KRT19Norm	Cytoplasm	CP	Intensity	KRT19 Intensity	Median KRT19 Intensity (Cytoplasm)	TRUE
Cytoplasm_CP_Intensity_MedianIntensity_KRT5Norm	Cytoplasm	CP	Intensity	KRT5 Intensity	Median KRT5 Intensity (Cytoplasm)	TRUE
Nuclei_CP_Intensity_IntegratedIntensity_EdUNorm	Nuclei	CP	Intensity	Integrated Edu Intensity	Integrated Edu Intensity (Nuclei)	FALSE
Nuclei_CP_Intensity_IntegratedIntensity_KRT19Norm	Nuclei	CP	Intensity	Integrated KRT19 Intensity	Integrated KRT19 Intensity (Nuclei)	FALSE
Nuclei_CP_Intensity_IntegratedIntensity_KRT5Norm	Nuclei	CP	Intensity	Integrated KRT5 Intensity	Integrated KRT5 Intensity (Nuclei)	FALSE
Nuclei_CP_Intensity_MedianIntensity_EdUNorm	Nuclei	CP	Intensity	Edu Intensity	Median Edu Intensity (Nuclei)	TRUE
Nuclei_CP_Intensity_MedianIntensity_KRT19Norm	Nuclei	CP	Intensity	Median KRT19 Intensity	Median KRT19 Intensity (Nuclei)	FALSE
Nuclei_CP_Intensity_MedianIntensity_KRT5Norm	Nuclei	CP	Intensity	Median KRT5 Intensity	Median KRT5 Intensity (Nuclei)	FALSE
Nuclei_PA_Gated_EdUPositiveProportionNorm	Nuclei	PA	Gated	EdU+ Proportion	EdU+ Proportion (Nuclei)	FALSE
Cytoplasm_PA_Gated_KRT5PositiveProportionNorm	Cytoplasm	PA	Gated	KRT5 Positive Proportion	KRT5 Positive Proportion (Cytoplasm)	FALSE
Cytoplasm_PA_Gated_KRT19PositiveProportionNorm	Cytoplasm	PA	Gated	KRT19 Positive Proportion	KRT19 Positive Proportion (Cytoplasm)	FALSE
Cytoplasm_PA_Gated_KRT5KRT19NegativeProportionNorm	Cytoplasm	PA	Gated	KRT5/KRT19 Negative Proportion	KRT5/KRT19 Negative Proportion (Cytoplasm)	FALSE
Cytoplasm_PA_Gated_KRT5PositiveKRT19NegativeProportionNorm	Cytoplasm	PA	Gated	KRT5 Positive KRT19 Negative Proportion	KRT5 Positive KRT19 Negative Proportion (Cytoplasm)	FALSE
Cytoplasm_PA_Gated_KRT5NegativeKRT19PositiveProportionNorm	Cytoplasm	PA	Gated	KRT5 Negative KRT19 Positive Proportion	KRT5 Negative KRT19 Positive Proportion (Cytoplasm)	FALSE
Cells_CP_Intensity_IntegratedIntensity_MitoTrackerNorm	Cells	CP	Intensity	Integrated Mitotracker Intensity	Integrated Mitotracker Intensity (Cells)	FALSE
Cells_CP_Intensity_MedianIntensity_MitoTrackerNorm	Cells	CP	Intensity	Median Mitotracker Intensity	Median Mitotracker Intensity (Cells)	FALSE
Cytoplasm_CP_Intensity_IntegratedIntensity_MitoTrackerNorm	Cytoplasm	CP	Intensity	Integrated Mitotracker Intensity	Integrated Mitotracker Intensity (Cytoplasm)	FALSE
Cytoplasm_CP_Intensity_MedianIntensity_MitoTrackerNorm	Cytoplasm	CP	Intensity	Mitotracker Intensity	Median Mitotracker Intensity (Cytoplasm)	TRUE
Cytoplasm_CP_Intensity_MedianIntensity_CellMaskNorm	Cytoplasm	CP	Intensity	CellMask Intensity	Median CellMask Intensity (Cytoplasm)	TRUE
Cytoplasm_CP_Intensity_MedianIntensity_ActinNorm	Cytoplasm	CP	Intensity	Actin Intensity	Median Actin Intensity (Cytoplasm)	TRUE
