MEP	ECMp	Ligand	Spot Cell Count	2N DNA Proportion	EdU+ Proportion
CDH6|1_BMP6	CDH6|1	BMP6	8.965	1.3198	-4.4661
CDH8_BMP6	CDH8	BMP6	8.79	1.2361	-4.2039
CEACAM6_BMP6	CEACAM6	BMP6	8.986	1.5544	-4.3973
COL1_BMP6	COL1	BMP6	8.562	1.0816	-3.8245
COL23A1|1_BMP6	COL23A1|1	BMP6	9.113	1.0854	-4.1488
COL2A1|2_BMP6	COL2A1|2	BMP6	8.92	1.1853	-4.1652
COL3A1|1_BMP6	COL3A1|1	BMP6	9.053	1.2804	-4.2376
COL4_BMP6	COL4	BMP6	9.417	1.7841	-4.3834
COL5A1_BMP6	COL5A1	BMP6	8.972	1.0362	-4.3245
DCN|A_BMP6	DCN|A	BMP6	9.097	1.5169	-4.2912
DSG2_BMP6	DSG2	BMP6	9.25	1.8087	-4.3911
ECM1|1_BMP6	ECM1|1	BMP6	8.925	1.3228	-4.417
ELN|3_BMP6	ELN|3	BMP6	6.79	2.2382	-2.6976
FBN1_BMP6	FBN1	BMP6	9.09	1.4517	-4.3133
FN1|1_BMP6	FN1|1	BMP6	9.201	1.9319	-3.9084
GAP43|1_BMP6	GAP43|1	BMP6	9.02	1.5932	-4.4985
HA<500kDa_BMP6	HA<500kDa	BMP6	9.244	2.006	-4.0946
HA>500kDa_BMP6	HA>500kDa	BMP6	9.049	1.4064	-4.3883
ICAM1_BMP6	ICAM1	BMP6	9.018	1.3986	-3.9339
ITGA10B1_BMP6	ITGA10B1	BMP6	9.421	2.2418	-4.6389
ITGA2B1_BMP6	ITGA2B1	BMP6	9.236	1.8242	-4.304
ITGA3B1_BMP6	ITGA3B1	BMP6	8.929	1.2404	-4.2596
ITGA4B1_BMP6	ITGA4B1	BMP6	8.939	1.4769	-4.3161
ITGA6B4_BMP6	ITGA6B4	BMP6	9.139	1.7346	-4.5383
ITGA9B1_BMP6	ITGA9B1	BMP6	9.229	1.9059	-4.1049
ITGAMB2_BMP6	ITGAMB2	BMP6	9.19	1.3874	-4.4029
ITGAVB6_BMP6	ITGAVB6	BMP6	9.187	1.8036	-3.9848
LAMB1_BMP6	LAMB1	BMP6	9.131	1.8094	-4.293
LUM_BMP6	LUM	BMP6	9.266	1.512	-4.2342
Laminin3B32_BMP6	Laminin3B32	BMP6	9.087	1.8227	-4.2188
NID1|1_BMP6	NID1|1	BMP6	7.908	1.8886	-2.2025
OMD_BMP6	OMD	BMP6	9.486	1.9077	-4.4976
PECAM1|Long_BMP6	PECAM1|Long	BMP6	9.046	1.8039	-4.3722
POSTN|1_BMP6	POSTN|1	BMP6	8.942	1.3262	-4.3901
SPARC_BMP6	SPARC	BMP6	9.1	1.4003	-4.2436
SPP1|A_BMP6	SPP1|A	BMP6	9.235	1.8664	-4.1179
THBS1|1_BMP6	THBS1|1	BMP6	9.478	2.2139	-4.3327
TNC|1_BMP6	TNC|1	BMP6	9.444	1.8744	-4.6677
VCAM1|1_BMP6	VCAM1|1	BMP6	9.127	1.7506	-4.4418
VTN_BMP6	VTN	BMP6	8.99	1.6144	-4.2878
ALCAM|1_BMP7	ALCAM|1	BMP7	8.766	2.1034	-3.3037
BCAN|1_BMP7	BCAN|1	BMP7	8.887	1.7118	-3.4163
BGN_BMP7	BGN	BMP7	8.787	1.7463	-3.222
CD44|1_BMP7	CD44|1	BMP7	8.702	1.4794	-3.3076
CDH15_BMP7	CDH15	BMP7	8.74	2.0084	-3.1297
CDH1|1_BMP7	CDH1|1	BMP7	8.826	1.6437	-3.1347
CDH20_BMP7	CDH20	BMP7	8.855	1.7857	-3.1714
CDH3|1_BMP7	CDH3|1	BMP7	8.673	1.9002	-3.2686
CDH6|1_BMP7	CDH6|1	BMP7	8.781	1.6993	-3.3468
CDH8_BMP7	CDH8	BMP7	8.893	1.6405	-3.2834
CEACAM6_BMP7	CEACAM6	BMP7	8.649	1.6427	-3.0097
COL1_BMP7	COL1	BMP7	8.985	1.7655	-3.3211
COL23A1|1_BMP7	COL23A1|1	BMP7	8.805	1.6532	-3.1026
COL2A1|2_BMP7	COL2A1|2	BMP7	8.873	1.8284	-3.2616
COL3A1|1_BMP7	COL3A1|1	BMP7	8.874	1.7095	-3.1579
COL4_BMP7	COL4	BMP7	8.983	1.8924	-3.1989
COL5A1_BMP7	COL5A1	BMP7	8.886	1.6541	-3.398
DCN|A_BMP7	DCN|A	BMP7	8.82	1.8784	-3.1058
DSG2_BMP7	DSG2	BMP7	8.805	2.0511	-3.1728
ECM1|1_BMP7	ECM1|1	BMP7	9.002	1.8255	-3.3658
ELN|3_BMP7	ELN|3	BMP7	8.647	1.4188	-2.1332
FBN1_BMP7	FBN1	BMP7	9.002	1.7678	-3.2418
FN1|1_BMP7	FN1|1	BMP7	8.814	1.9618	-2.9716
GAP43|1_BMP7	GAP43|1	BMP7	8.635	1.9481	-3.1683
HA<500kDa_BMP7	HA<500kDa	BMP7	8.837	1.6643	-3.155
HA>500kDa_BMP7	HA>500kDa	BMP7	8.689	1.6925	-3.2283
ICAM1_BMP7	ICAM1	BMP7	8.687	1.7925	-3.2492
ITGA10B1_BMP7	ITGA10B1	BMP7	8.794	1.7754	-3.2792
ITGA2B1_BMP7	ITGA2B1	BMP7	8.547	1.9214	-2.9508
ITGA3B1_BMP7	ITGA3B1	BMP7	8.693	1.6662	-3.2855
ITGA4B1_BMP7	ITGA4B1	BMP7	8.755	1.8662	-3.2186
ITGA6B4_BMP7	ITGA6B4	BMP7	8.686	1.8038	-3.1322
ITGA9B1_BMP7	ITGA9B1	BMP7	8.938	1.7111	-2.9174
ITGAMB2_BMP7	ITGAMB2	BMP7	8.696	1.7214	-3.1084
ITGAVB6_BMP7	ITGAVB6	BMP7	8.755	1.8153	-3.1316
LAMB1_BMP7	LAMB1	BMP7	8.751	1.9244	-3.2182
LUM_BMP7	LUM	BMP7	9.098	1.7367	-3.4316
Laminin3B32_BMP7	Laminin3B32	BMP7	8.656	1.851	-3.1534
NID1|1_BMP7	NID1|1	BMP7	7.811	1.6072	-0.8496
OMD_BMP7	OMD	BMP7	9.051	1.9583	-3.2996
PECAM1|Long_BMP7	PECAM1|Long	BMP7	8.741	1.8707	-2.8806
POSTN|1_BMP7	POSTN|1	BMP7	8.692	1.8725	-2.8697
SPARC_BMP7	SPARC	BMP7	8.698	1.7653	-2.815
SPP1|A_BMP7	SPP1|A	BMP7	8.838	1.8364	-2.7921
THBS1|1_BMP7	THBS1|1	BMP7	8.801	2.2147	-3.6557
TNC|1_BMP7	TNC|1	BMP7	8.884	1.9913	-3.228
VCAM1|1_BMP7	VCAM1|1	BMP7	8.836	1.8105	-2.6387
VTN_BMP7	VTN	BMP7	8.821	1.709	-3.5402
ALCAM|1_CSF2	ALCAM|1	CSF2	8.764	1.1449	-2.3862
BCAN|1_CSF2	BCAN|1	CSF2	8.843	1.3679	-2.5093
BGN_CSF2	BGN	CSF2	8.729	1.1284	-2.4537
CD44|1_CSF2	CD44|1	CSF2	8.74	1.2514	-2.5019
CDH15_CSF2	CDH15	CSF2	8.581	1.3112	-2.5629
CDH1|1_CSF2	CDH1|1	CSF2	8.792	1.3102	-2.5248
CDH20_CSF2	CDH20	CSF2	8.694	1.4365	-2.5059
CDH3|1_CSF2	CDH3|1	CSF2	8.603	1.4311	-2.612
CDH6|1_CSF2	CDH6|1	CSF2	8.681	1.2725	-2.4714
CDH8_CSF2	CDH8	CSF2	8.688	1.2178	-2.4837
CEACAM6_CSF2	CEACAM6	CSF2	8.706	1.0762	-2.3021
COL1_CSF2	COL1	CSF2	8.712	1.0494	-2.4029
COL23A1|1_CSF2	COL23A1|1	CSF2	8.625	1.2178	-2.4069
COL2A1|2_CSF2	COL2A1|2	CSF2	8.8	1.2563	-2.3867
COL3A1|1_CSF2	COL3A1|1	CSF2	8.541	1.238	-2.3424
COL4_CSF2	COL4	CSF2	8.912	1.4122	-2.4286
COL5A1_CSF2	COL5A1	CSF2	8.738	1.1454	-2.4932
DCN|A_CSF2	DCN|A	CSF2	8.809	1.3542	-2.4625
DSG2_CSF2	DSG2	CSF2	8.42	1.0837	-2.316
ECM1|1_CSF2	ECM1|1	CSF2	8.638	1.3905	-2.5978
ELN|3_CSF2	ELN|3	CSF2	8.145	1.1712	-2.1168
FBN1_CSF2	FBN1	CSF2	8.753	1.3922	-2.4918
FN1|1_CSF2	FN1|1	CSF2	8.906	1.4298	-2.4389
GAP43|1_CSF2	GAP43|1	CSF2	8.557	1.4684	-2.3598
HA<500kDa_CSF2	HA<500kDa	CSF2	8.699	1.3746	-2.4944
HA>500kDa_CSF2	HA>500kDa	CSF2	8.639	1.2066	-2.5273
ICAM1_CSF2	ICAM1	CSF2	8.91	1.4233	-2.3872
ITGA10B1_CSF2	ITGA10B1	CSF2	8.566	1.3138	-2.4076
ITGA2B1_CSF2	ITGA2B1	CSF2	8.555	1.3257	-2.4423
ITGA3B1_CSF2	ITGA3B1	CSF2	8.748	1.2146	-2.4073
ITGA4B1_CSF2	ITGA4B1	CSF2	8.751	1.4468	-2.5634
ITGA6B4_CSF2	ITGA6B4	CSF2	8.55	1.3564	-2.3274
ITGA9B1_CSF2	ITGA9B1	CSF2	8.577	1.3543	-2.5907
ITGAMB2_CSF2	ITGAMB2	CSF2	8.752	1.2315	-2.425
ITGAVB6_CSF2	ITGAVB6	CSF2	8.753	1.3751	-2.2599
LAMB1_CSF2	LAMB1	CSF2	8.687	1.386	-2.4995
LUM_CSF2	LUM	CSF2	8.835	1.3782	-2.6305
Laminin3B32_CSF2	Laminin3B32	CSF2	8.676	1.3186	-2.5493
NID1|1_CSF2	NID1|1	CSF2	8.238	1.542	-1.4147
OMD_CSF2	OMD	CSF2	8.876	1.3293	-2.4723
PECAM1|Long_CSF2	PECAM1|Long	CSF2	8.834	1.2236	-2.2965
POSTN|1_CSF2	POSTN|1	CSF2	8.684	1.3283	-2.4571
SPARC_CSF2	SPARC	CSF2	8.835	1.3659	-2.4458
SPP1|A_CSF2	SPP1|A	CSF2	8.65	1.4799	-2.5436
THBS1|1_CSF2	THBS1|1	CSF2	8.69	1.6134	-2.6256
TNC|1_CSF2	TNC|1	CSF2	8.699	1.5318	-2.4877
VCAM1|1_CSF2	VCAM1|1	CSF2	8.671	1.2767	-2.4142
VTN_CSF2	VTN	CSF2	8.725	1.2272	-2.419
ALCAM|1_CTGF|1	ALCAM|1	CTGF|1	8.914	1.8207	-2.6105
BCAN|1_CTGF|1	BCAN|1	CTGF|1	8.83	1.8124	-2.7196
BGN_CTGF|1	BGN	CTGF|1	8.797	1.3251	-2.5923
CD44|1_CTGF|1	CD44|1	CTGF|1	8.959	1.4328	-2.6956
CDH15_CTGF|1	CDH15	CTGF|1	8.804	1.5927	-2.628
CDH1|1_CTGF|1	CDH1|1	CTGF|1	8.964	1.5465	-2.7169
CDH20_CTGF|1	CDH20	CTGF|1	8.969	1.3547	-2.6447
CDH3|1_CTGF|1	CDH3|1	CTGF|1	8.822	1.5724	-2.6273
CDH6|1_CTGF|1	CDH6|1	CTGF|1	8.809	1.5823	-2.6958
CDH8_CTGF|1	CDH8	CTGF|1	8.948	1.4138	-2.5409
CEACAM6_CTGF|1	CEACAM6	CTGF|1	8.954	1.5079	-2.4976
COL1_CTGF|1	COL1	CTGF|1	8.945	1.4869	-2.5397
COL23A1|1_CTGF|1	COL23A1|1	CTGF|1	8.94	1.5273	-2.5253
COL2A1|2_CTGF|1	COL2A1|2	CTGF|1	8.95	1.3443	-2.6267
COL3A1|1_CTGF|1	COL3A1|1	CTGF|1	8.949	1.6319	-2.6
COL4_CTGF|1	COL4	CTGF|1	9.147	1.6185	-2.665
COL5A1_CTGF|1	COL5A1	CTGF|1	8.906	1.4655	-2.5427
DCN|A_CTGF|1	DCN|A	CTGF|1	8.972	1.4705	-2.6652
DSG2_CTGF|1	DSG2	CTGF|1	8.922	1.7505	-2.5932
ECM1|1_CTGF|1	ECM1|1	CTGF|1	8.911	1.5637	-2.5564
ELN|3_CTGF|1	ELN|3	CTGF|1	7.907	1.4163	-1.9854
FBN1_CTGF|1	FBN1	CTGF|1	9.038	1.5037	-2.6753
FN1|1_CTGF|1	FN1|1	CTGF|1	8.899	1.7303	-2.6068
GAP43|1_CTGF|1	GAP43|1	CTGF|1	8.876	1.3567	-2.6883
HA<500kDa_CTGF|1	HA<500kDa	CTGF|1	8.777	1.6076	-2.5874
HA>500kDa_CTGF|1	HA>500kDa	CTGF|1	8.874	1.5768	-2.5315
ICAM1_CTGF|1	ICAM1	CTGF|1	8.824	1.5204	-2.642
ITGA10B1_CTGF|1	ITGA10B1	CTGF|1	8.892	1.3811	-2.5213
ITGA2B1_CTGF|1	ITGA2B1	CTGF|1	8.762	1.3663	-2.4769
ITGA3B1_CTGF|1	ITGA3B1	CTGF|1	8.808	1.611	-2.5252
ITGA4B1_CTGF|1	ITGA4B1	CTGF|1	8.749	1.4936	-2.6091
ITGA6B4_CTGF|1	ITGA6B4	CTGF|1	8.899	1.3475	-2.506
ITGA9B1_CTGF|1	ITGA9B1	CTGF|1	8.741	1.5157	-2.6264
ITGAMB2_CTGF|1	ITGAMB2	CTGF|1	8.828	1.5292	-2.4936
ITGAVB6_CTGF|1	ITGAVB6	CTGF|1	8.846	1.7187	-2.729
LAMB1_CTGF|1	LAMB1	CTGF|1	8.915	1.6498	-2.711
LUM_CTGF|1	LUM	CTGF|1	8.987	1.5487	-2.7566
Laminin3B32_CTGF|1	Laminin3B32	CTGF|1	8.684	1.4323	-2.6802
NID1|1_CTGF|1	NID1|1	CTGF|1	6.962	1.2061	-1.0105
OMD_CTGF|1	OMD	CTGF|1	9.046	1.7193	-2.7846
PECAM1|Long_CTGF|1	PECAM1|Long	CTGF|1	8.841	1.4991	-2.557
POSTN|1_CTGF|1	POSTN|1	CTGF|1	8.847	1.4121	-2.4948
SPARC_CTGF|1	SPARC	CTGF|1	8.887	1.7129	-2.6778
SPP1|A_CTGF|1	SPP1|A	CTGF|1	8.864	1.6368	-2.4654
THBS1|1_CTGF|1	THBS1|1	CTGF|1	8.852	1.897	-2.8458
TNC|1_CTGF|1	TNC|1	CTGF|1	9.01	1.8538	-2.611
VCAM1|1_CTGF|1	VCAM1|1	CTGF|1	8.946	1.4446	-2.5854
VTN_CTGF|1	VTN	CTGF|1	8.788	1.4841	-2.5016
ALCAM|1_CXCL1	ALCAM|1	CXCL1	7.86	0.5903	-2.4463
BCAN|1_CXCL1	BCAN|1	CXCL1	7.859	0.8739	-2.5697
BGN_CXCL1	BGN	CXCL1	7.853	0.7522	-2.6251
CD44|1_CXCL1	CD44|1	CXCL1	7.528	0.7668	-2.4676
CDH15_CXCL1	CDH15	CXCL1	7.81	0.5978	-2.1772
CDH1|1_CXCL1	CDH1|1	CXCL1	7.668	0.7826	-2.4585
CDH20_CXCL1	CDH20	CXCL1	8.021	0.9876	-2.4194
CDH3|1_CXCL1	CDH3|1	CXCL1	7.975	0.8204	-2.3935
CDH6|1_CXCL1	CDH6|1	CXCL1	7.461	0.5605	-2.1103
CDH8_CXCL1	CDH8	CXCL1	7.723	0.6844	-2.2645
CEACAM6_CXCL1	CEACAM6	CXCL1	7.975	0.593	-2.3216
COL1_CXCL1	COL1	CXCL1	7.23	0.8747	-2.4964
COL23A1|1_CXCL1	COL23A1|1	CXCL1	7.061	0.5143	-2.2061
COL2A1|2_CXCL1	COL2A1|2	CXCL1	7.217	0.6327	-2.406
COL3A1|1_CXCL1	COL3A1|1	CXCL1	8.266	0.9634	-2.3758
COL4_CXCL1	COL4	CXCL1	7.873	1.065	-2.4383
COL5A1_CXCL1	COL5A1	CXCL1	6.493	0.5541	-2.1842
DCN|A_CXCL1	DCN|A	CXCL1	7.439	0.7758	-2.4154
DSG2_CXCL1	DSG2	CXCL1	7.717	1.0219	-2.496
ECM1|1_CXCL1	ECM1|1	CXCL1	7.925	0.7229	-2.2629
ELN|3_CXCL1	ELN|3	CXCL1	7.184	1.2413	-2.3024
FBN1_CXCL1	FBN1	CXCL1	7.467	0.9035	-2.319
FN1|1_CXCL1	FN1|1	CXCL1	7.438	1.0118	-2.5472
GAP43|1_CXCL1	GAP43|1	CXCL1	7.908	0.7887	-2.5244
HA<500kDa_CXCL1	HA<500kDa	CXCL1	7.595	0.8159	-2.4444
HA>500kDa_CXCL1	HA>500kDa	CXCL1	7.928	0.6197	-2.427
ICAM1_CXCL1	ICAM1	CXCL1	7.741	0.9068	-2.3806
ITGA10B1_CXCL1	ITGA10B1	CXCL1	8.204	1.2202	-2.4432
ITGA2B1_CXCL1	ITGA2B1	CXCL1	7.763	0.8514	-2.4125
ITGA3B1_CXCL1	ITGA3B1	CXCL1	8.014	0.8578	-2.5482
ITGA4B1_CXCL1	ITGA4B1	CXCL1	7.581	0.8184	-2.4904
ITGA6B4_CXCL1	ITGA6B4	CXCL1	7.672	0.8477	-2.4003
ITGA9B1_CXCL1	ITGA9B1	CXCL1	7.836	0.896	-2.5389
ITGAMB2_CXCL1	ITGAMB2	CXCL1	6.882	0.6923	-2.3137
ITGAVB6_CXCL1	ITGAVB6	CXCL1	7.965	0.9394	-2.1191
LAMB1_CXCL1	LAMB1	CXCL1	8.161	0.9074	-2.5285
LUM_CXCL1	LUM	CXCL1	7.212	0.7834	-2.3341
Laminin3B32_CXCL1	Laminin3B32	CXCL1	7.552	0.7228	-2.6168
NID1|1_CXCL1	NID1|1	CXCL1	7.836	2.2355	-1.9104
OMD_CXCL1	OMD	CXCL1	7.675	0.9812	-2.6039
PECAM1|Long_CXCL1	PECAM1|Long	CXCL1	7.818	0.7906	-2.5003
POSTN|1_CXCL1	POSTN|1	CXCL1	7.93	0.7673	-2.4435
SPARC_CXCL1	SPARC	CXCL1	7.132	0.9361	-2.556
SPP1|A_CXCL1	SPP1|A	CXCL1	7.659	0.7405	-2.3176
THBS1|1_CXCL1	THBS1|1	CXCL1	8.169	0.9703	-2.4487
TNC|1_CXCL1	TNC|1	CXCL1	7.524	0.8793	-2.6377
VCAM1|1_CXCL1	VCAM1|1	CXCL1	7.725	0.675	-2.6184
VTN_CXCL1	VTN	CXCL1	7.732	0.754	-2.5423
ALCAM|1_CXCL12|Alpha	ALCAM|1	CXCL12|Alpha	8.867	1.5177	-2.4283
BCAN|1_CXCL12|Alpha	BCAN|1	CXCL12|Alpha	8.772	1.4348	-2.7736
BGN_CXCL12|Alpha	BGN	CXCL12|Alpha	8.885	1.4409	-2.6865
CD44|1_CXCL12|Alpha	CD44|1	CXCL12|Alpha	8.805	1.3502	-2.4702
CDH15_CXCL12|Alpha	CDH15	CXCL12|Alpha	8.843	1.5189	-2.6409
CDH1|1_CXCL12|Alpha	CDH1|1	CXCL12|Alpha	8.793	1.5239	-2.4382
CDH20_CXCL12|Alpha	CDH20	CXCL12|Alpha	8.779	1.6035	-2.6408
CDH3|1_CXCL12|Alpha	CDH3|1	CXCL12|Alpha	8.808	1.5334	-2.5399
CDH6|1_CXCL12|Alpha	CDH6|1	CXCL12|Alpha	8.685	1.3951	-2.5117
CDH8_CXCL12|Alpha	CDH8	CXCL12|Alpha	8.932	1.4589	-2.5371
CEACAM6_CXCL12|Alpha	CEACAM6	CXCL12|Alpha	8.802	1.3831	-2.5355
COL1_CXCL12|Alpha	COL1	CXCL12|Alpha	8.819	1.2135	-2.396
COL23A1|1_CXCL12|Alpha	COL23A1|1	CXCL12|Alpha	8.839	1.441	-2.4193
COL2A1|2_CXCL12|Alpha	COL2A1|2	CXCL12|Alpha	8.769	1.5676	-2.6447
COL3A1|1_CXCL12|Alpha	COL3A1|1	CXCL12|Alpha	8.833	1.3403	-2.4475
COL4_CXCL12|Alpha	COL4	CXCL12|Alpha	8.971	1.4686	-2.5241
COL5A1_CXCL12|Alpha	COL5A1	CXCL12|Alpha	8.677	1.3598	-2.4128
DCN|A_CXCL12|Alpha	DCN|A	CXCL12|Alpha	8.916	1.4695	-2.536
DSG2_CXCL12|Alpha	DSG2	CXCL12|Alpha	8.823	1.7566	-2.6891
ECM1|1_CXCL12|Alpha	ECM1|1	CXCL12|Alpha	8.864	1.4269	-2.5035
ELN|3_CXCL12|Alpha	ELN|3	CXCL12|Alpha	8.132	1.4943	-1.951
FBN1_CXCL12|Alpha	FBN1	CXCL12|Alpha	8.795	1.4245	-2.7004
FN1|1_CXCL12|Alpha	FN1|1	CXCL12|Alpha	8.884	1.5328	-2.4056
GAP43|1_CXCL12|Alpha	GAP43|1	CXCL12|Alpha	8.763	1.7323	-2.6819
HA<500kDa_CXCL12|Alpha	HA<500kDa	CXCL12|Alpha	8.689	1.882	-2.5992
HA>500kDa_CXCL12|Alpha	HA>500kDa	CXCL12|Alpha	8.707	1.4092	-2.4588
ICAM1_CXCL12|Alpha	ICAM1	CXCL12|Alpha	8.766	1.7588	-2.5677
ITGA10B1_CXCL12|Alpha	ITGA10B1	CXCL12|Alpha	8.793	1.629	-2.7013
ITGA2B1_CXCL12|Alpha	ITGA2B1	CXCL12|Alpha	8.677	1.5288	-2.6693
ITGA3B1_CXCL12|Alpha	ITGA3B1	CXCL12|Alpha	8.69	1.5197	-2.5567
ITGA4B1_CXCL12|Alpha	ITGA4B1	CXCL12|Alpha	8.685	1.4949	-2.5004
ITGA6B4_CXCL12|Alpha	ITGA6B4	CXCL12|Alpha	8.694	1.5004	-2.4843
ITGA9B1_CXCL12|Alpha	ITGA9B1	CXCL12|Alpha	8.799	1.5115	-2.5719
ITGAMB2_CXCL12|Alpha	ITGAMB2	CXCL12|Alpha	8.669	1.5358	-2.6812
ITGAVB6_CXCL12|Alpha	ITGAVB6	CXCL12|Alpha	8.793	1.6209	-2.3857
LAMB1_CXCL12|Alpha	LAMB1	CXCL12|Alpha	8.74	1.6059	-2.4715
LUM_CXCL12|Alpha	LUM	CXCL12|Alpha	8.945	1.5182	-2.5863
Laminin3B32_CXCL12|Alpha	Laminin3B32	CXCL12|Alpha	8.855	1.4957	-2.4811
NID1|1_CXCL12|Alpha	NID1|1	CXCL12|Alpha	8.341	1.5329	-1.7931
OMD_CXCL12|Alpha	OMD	CXCL12|Alpha	8.938	1.8527	-2.8766
PECAM1|Long_CXCL12|Alpha	PECAM1|Long	CXCL12|Alpha	8.819	1.4976	-2.5514
POSTN|1_CXCL12|Alpha	POSTN|1	CXCL12|Alpha	8.887	1.5621	-2.81
SPARC_CXCL12|Alpha	SPARC	CXCL12|Alpha	8.885	1.5084	-2.4826
SPP1|A_CXCL12|Alpha	SPP1|A	CXCL12|Alpha	8.855	1.5571	-2.5643
THBS1|1_CXCL12|Alpha	THBS1|1	CXCL12|Alpha	8.844	1.9232	-2.6805
TNC|1_CXCL12|Alpha	TNC|1	CXCL12|Alpha	8.942	1.7252	-2.6184
VCAM1|1_CXCL12|Alpha	VCAM1|1	CXCL12|Alpha	8.686	1.3888	-2.4442
VTN_CXCL12|Alpha	VTN	CXCL12|Alpha	8.778	1.2833	-2.4335
ALCAM|1_CXCL12|Beta	ALCAM|1	CXCL12|Beta	8.737	1.4731	-2.2833
BCAN|1_CXCL12|Beta	BCAN|1	CXCL12|Beta	8.823	1.5137	-2.5802
BGN_CXCL12|Beta	BGN	CXCL12|Beta	8.823	1.2947	-2.5325
CD44|1_CXCL12|Beta	CD44|1	CXCL12|Beta	8.964	1.4918	-2.4314
CDH15_CXCL12|Beta	CDH15	CXCL12|Beta	8.856	1.4111	-2.4644
CDH1|1_CXCL12|Beta	CDH1|1	CXCL12|Beta	8.89	1.3274	-2.5529
CDH20_CXCL12|Beta	CDH20	CXCL12|Beta	9.063	1.3708	-2.3322
CDH3|1_CXCL12|Beta	CDH3|1	CXCL12|Beta	8.813	1.6555	-2.5817
CDH6|1_CXCL12|Beta	CDH6|1	CXCL12|Beta	8.929	1.1991	-2.469
CDH8_CXCL12|Beta	CDH8	CXCL12|Beta	8.72	1.2593	-2.3765
CEACAM6_CXCL12|Beta	CEACAM6	CXCL12|Beta	8.938	1.3486	-2.5569
COL1_CXCL12|Beta	COL1	CXCL12|Beta	9.001	1.0919	-2.4471
COL23A1|1_CXCL12|Beta	COL23A1|1	CXCL12|Beta	8.863	1.2537	-2.53
COL2A1|2_CXCL12|Beta	COL2A1|2	CXCL12|Beta	8.963	1.3565	-2.2788
COL3A1|1_CXCL12|Beta	COL3A1|1	CXCL12|Beta	8.881	1.3632	-2.4439
COL4_CXCL12|Beta	COL4	CXCL12|Beta	9.042	1.4673	-2.4968
COL5A1_CXCL12|Beta	COL5A1	CXCL12|Beta	8.921	1.213	-2.4035
DCN|A_CXCL12|Beta	DCN|A	CXCL12|Beta	8.668	1.2016	-2.5158
DSG2_CXCL12|Beta	DSG2	CXCL12|Beta	8.88	1.5575	-2.4994
ECM1|1_CXCL12|Beta	ECM1|1	CXCL12|Beta	8.705	1.287	-2.4812
ELN|3_CXCL12|Beta	ELN|3	CXCL12|Beta	8.024	1.3475	-2.3002
FBN1_CXCL12|Beta	FBN1	CXCL12|Beta	8.859	1.0716	-2.3693
FN1|1_CXCL12|Beta	FN1|1	CXCL12|Beta	8.851	1.3915	-2.4624
GAP43|1_CXCL12|Beta	GAP43|1	CXCL12|Beta	8.736	1.0856	-2.3807
HA<500kDa_CXCL12|Beta	HA<500kDa	CXCL12|Beta	8.803	1.4136	-2.6521
HA>500kDa_CXCL12|Beta	HA>500kDa	CXCL12|Beta	8.675	1.4376	-2.4521
ICAM1_CXCL12|Beta	ICAM1	CXCL12|Beta	8.8	1.3157	-2.444
ITGA10B1_CXCL12|Beta	ITGA10B1	CXCL12|Beta	8.691	1.3555	-2.3853
ITGA2B1_CXCL12|Beta	ITGA2B1	CXCL12|Beta	8.639	1.2644	-2.1383
ITGA3B1_CXCL12|Beta	ITGA3B1	CXCL12|Beta	8.814	1.3019	-2.4761
ITGA4B1_CXCL12|Beta	ITGA4B1	CXCL12|Beta	8.693	1.2263	-2.611
ITGA6B4_CXCL12|Beta	ITGA6B4	CXCL12|Beta	8.528	1.2699	-2.3352
ITGA9B1_CXCL12|Beta	ITGA9B1	CXCL12|Beta	8.808	1.3026	-2.355
ITGAMB2_CXCL12|Beta	ITGAMB2	CXCL12|Beta	8.786	1.3304	-2.4296
ITGAVB6_CXCL12|Beta	ITGAVB6	CXCL12|Beta	8.791	1.3938	-2.5409
LAMB1_CXCL12|Beta	LAMB1	CXCL12|Beta	8.833	1.4506	-2.4778
LUM_CXCL12|Beta	LUM	CXCL12|Beta	8.888	1.237	-2.666
Laminin3B32_CXCL12|Beta	Laminin3B32	CXCL12|Beta	8.763	1.5625	-2.4799
NID1|1_CXCL12|Beta	NID1|1	CXCL12|Beta	7.946	1.3453	-1.944
OMD_CXCL12|Beta	OMD	CXCL12|Beta	8.881	1.4238	-2.5946
PECAM1|Long_CXCL12|Beta	PECAM1|Long	CXCL12|Beta	8.7	1.1196	-2.3033
POSTN|1_CXCL12|Beta	POSTN|1	CXCL12|Beta	8.923	1.4009	-2.5741
SPARC_CXCL12|Beta	SPARC	CXCL12|Beta	8.871	1.2433	-2.2886
SPP1|A_CXCL12|Beta	SPP1|A	CXCL12|Beta	8.66	1.5006	-2.5755
THBS1|1_CXCL12|Beta	THBS1|1	CXCL12|Beta	8.876	1.7016	-2.6956
TNC|1_CXCL12|Beta	TNC|1	CXCL12|Beta	8.88	1.5869	-2.6706
VCAM1|1_CXCL12|Beta	VCAM1|1	CXCL12|Beta	8.597	1.3412	-2.5214
VTN_CXCL12|Beta	VTN	CXCL12|Beta	8.793	1.2112	-2.5027
ALCAM|1_CXCL8|1	ALCAM|1	CXCL8|1	8.84	1.3581	-2.5228
BCAN|1_CXCL8|1	BCAN|1	CXCL8|1	8.562	1.1507	-2.6261
BGN_CXCL8|1	BGN	CXCL8|1	8.715	1.2312	-2.5334
