MEP	ECMp	Ligand	Spot Cell Count	2N DNA Proportion	Lineage Ratio
VCAM1|1_BMP5|1	VCAM1|1	BMP5|1	5.6026	1.7252	-4.104599
VTN_BMP5|1	VTN	BMP5|1	5.1904	1.83903	-3.630203
ALCAM|1_BMP6	ALCAM|1	BMP6	6.7713	1.20877	-3.937347
BCAN|1_BMP6	BCAN|1	BMP6	6.8699	1.65532	-3.864884
BGN_BMP6	BGN	BMP6	6.8094	1.66995	-3.806301
CD44|1_BMP6	CD44|1	BMP6	6.4531	1.49592	-3.699121
CDH15_BMP6	CDH15	BMP6	6.6324	1.77892	-3.708824
CDH1|1_BMP6	CDH1|1	BMP6	6.6422	1.75809	-3.647561
CDH20_BMP6	CDH20	BMP6	6.7922	1.42219	-3.860345
CDH3|1_BMP6	CDH3|1	BMP6	6.693	1.61367	-3.725781
CDH6|1_BMP6	CDH6|1	BMP6	6.8489	1.75884	-3.917626
CDH8_BMP6	CDH8	BMP6	6.7376	1.79632	-3.836801
CEACAM6_BMP6	CEACAM6	BMP6	6.7691	1.67332	-3.914549
COL1_BMP6	COL1	BMP6	6.8769	1.54823	-3.874909
COL23A1|1_BMP6	COL23A1|1	BMP6	6.8668	1.61479	-3.746351
COL2A1|2_BMP6	COL2A1|2	BMP6	6.7447	1.79489	-3.853328
COL3A1|1_BMP6	COL3A1|1	BMP6	6.6721	1.5411	-3.830133
COL4_BMP6	COL4	BMP6	6.8151	1.78814	-3.835335
COL5A1_BMP6	COL5A1	BMP6	6.9979	1.6585	-4.001536
DCN|A_BMP6	DCN|A	BMP6	6.6827	1.41	-3.576606
DSG2_BMP6	DSG2	BMP6	7.1141	1.7472	-4.04544
ECM1|1_BMP6	ECM1|1	BMP6	6.9292	1.72142	-3.775829
ELN|3_BMP6	ELN|3	BMP6	5.7122	1.8038	-3.553266
FBN1_BMP6	FBN1	BMP6	6.9565	1.87921	-3.782411
FN1|1_BMP6	FN1|1	BMP6	6.9721	1.55516	-3.911414
GAP43|1_BMP6	GAP43|1	BMP6	6.8706	1.59023	-3.84005
HA<500kDa_BMP6	HA<500kDa	BMP6	6.3174	1.565	-3.584045
HA>500kDa_BMP6	HA>500kDa	BMP6	6.6983	2.05485	-3.931443
ICAM1_BMP6	ICAM1	BMP6	6.5738	1.50755	-3.742506
ITGA10B1_BMP6	ITGA10B1	BMP6	6.65	1.75377	-3.816284
ITGA2B1_BMP6	ITGA2B1	BMP6	6.3355	1.45848	-3.312497
ITGA3B1_BMP6	ITGA3B1	BMP6	6.8684	1.71998	-3.814492
ITGA4B1_BMP6	ITGA4B1	BMP6	6.6844	1.59518	-3.744038
ITGA6B4_BMP6	ITGA6B4	BMP6	6.7574	1.55923	-3.719671
ITGA9B1_BMP6	ITGA9B1	BMP6	6.8559	1.67507	-3.790548
ITGAMB2_BMP6	ITGAMB2	BMP6	6.6482	1.41704	-3.738982
ITGAVB6_BMP6	ITGAVB6	BMP6	6.4472	1.7334	-3.576047
LAMB1_BMP6	LAMB1	BMP6	6.7926	1.88611	-3.639847
LUM_BMP6	LUM	BMP6	6.9903	1.92536	-3.821941
Laminin3B32_BMP6	Laminin3B32	BMP6	6.9403	1.7683	-3.97858
NID1|1_BMP6	NID1|1	BMP6	5.3504	2.08033	-3.100713
OMD_BMP6	OMD	BMP6	6.7696	1.61461	-3.867313
PECAM1|Long_BMP6	PECAM1|Long	BMP6	6.8825	1.71457	-4.128088
POSTN|1_BMP6	POSTN|1	BMP6	6.7744	1.66666	-3.875672
SPARC_BMP6	SPARC	BMP6	6.8337	1.44634	-3.830392
SPP1|A_BMP6	SPP1|A	BMP6	6.2026	1.86437	-3.52492
THBS1|1_BMP6	THBS1|1	BMP6	6.5979	1.72913	-3.51597
TNC|1_BMP6	TNC|1	BMP6	6.7375	1.78041	-3.916529
VCAM1|1_BMP6	VCAM1|1	BMP6	6.5209	1.62709	-3.528051
VTN_BMP6	VTN	BMP6	6.7529	1.45128	-3.954167
ALCAM|1_BMP7	ALCAM|1	BMP7	6.3301	1.87678	-3.173386
BCAN|1_BMP7	BCAN|1	BMP7	6.7459	1.7673	-3.495558
BGN_BMP7	BGN	BMP7	6.3002	1.88674	-3.267459
CD44|1_BMP7	CD44|1	BMP7	6.6557	1.8449	-3.285352
CDH15_BMP7	CDH15	BMP7	6.1329	1.536	-3.0923
CDH1|1_BMP7	CDH1|1	BMP7	6.5104	1.72331	-3.449898
CDH20_BMP7	CDH20	BMP7	6.337	1.40238	-3.454738
CDH3|1_BMP7	CDH3|1	BMP7	6.209	1.44044	-3.269378
CDH6|1_BMP7	CDH6|1	BMP7	6.4207	1.27198	-3.300393
CDH8_BMP7	CDH8	BMP7	6.7756	1.70343	-3.296096
CEACAM6_BMP7	CEACAM6	BMP7	6.5477	1.68078	-3.582678
COL1_BMP7	COL1	BMP7	6.6653	1.38687	-3.536647
COL23A1|1_BMP7	COL23A1|1	BMP7	6.7853	2.00754	-3.550916
COL2A1|2_BMP7	COL2A1|2	BMP7	6.6978	1.70676	-3.62372
COL3A1|1_BMP7	COL3A1|1	BMP7	6.3545	1.48461	-3.152685
COL4_BMP7	COL4	BMP7	6.1344	1.67014	-3.233352
COL5A1_BMP7	COL5A1	BMP7	6.8809	1.64247	-3.740829
DCN|A_BMP7	DCN|A	BMP7	6.573	1.46979	-3.273876
DSG2_BMP7	DSG2	BMP7	6.4912	1.33842	-3.113969
ECM1|1_BMP7	ECM1|1	BMP7	6.8706	1.7066	-3.546569
ELN|3_BMP7	ELN|3	BMP7	4.8707	2.31407	-3.014902
FBN1_BMP7	FBN1	BMP7	6.5323	1.57003	-3.339576
FN1|1_BMP7	FN1|1	BMP7	6.172	1.26192	-3.270477
GAP43|1_BMP7	GAP43|1	BMP7	6.9469	1.72573	-3.853029
HA<500kDa_BMP7	HA<500kDa	BMP7	6.4891	1.49548	-3.519279
HA>500kDa_BMP7	HA>500kDa	BMP7	6.5947	1.70586	-3.476389
ICAM1_BMP7	ICAM1	BMP7	6.5872	1.49467	-3.44705
ITGA10B1_BMP7	ITGA10B1	BMP7	6.3653	1.71441	-3.189776
ITGA2B1_BMP7	ITGA2B1	BMP7	6.4437	1.37163	-3.617706
ITGA3B1_BMP7	ITGA3B1	BMP7	6.5894	1.81476	-3.274411
ITGA4B1_BMP7	ITGA4B1	BMP7	6.2237	1.77527	-3.225773
ITGA6B4_BMP7	ITGA6B4	BMP7	6.255	1.53201	-3.386384
ITGA9B1_BMP7	ITGA9B1	BMP7	6.6389	1.93943	-3.334448
ITGAMB2_BMP7	ITGAMB2	BMP7	6.5463	1.58993	-3.272981
ITGAVB6_BMP7	ITGAVB6	BMP7	5.7361	1.67701	-3.239374
LAMB1_BMP7	LAMB1	BMP7	6.4635	1.56872	-3.385678
LUM_BMP7	LUM	BMP7	6.4217	1.38499	-3.296167
Laminin3B32_BMP7	Laminin3B32	BMP7	6.4866	1.39943	-3.099657
NID1|1_BMP7	NID1|1	BMP7	3.4411	6.00611	-2.61279
OMD_BMP7	OMD	BMP7	6.3979	1.4984	-3.335601
PECAM1|Long_BMP7	PECAM1|Long	BMP7	6.4829	1.88983	-3.557131
POSTN|1_BMP7	POSTN|1	BMP7	6.3338	1.54282	-3.527737
SPARC_BMP7	SPARC	BMP7	6.4027	1.71228	-3.199983
SPP1|A_BMP7	SPP1|A	BMP7	6.4422	1.56739	-3.253253
THBS1|1_BMP7	THBS1|1	BMP7	6.6125	1.61895	-3.507372
TNC|1_BMP7	TNC|1	BMP7	6.6422	1.66965	-3.395316
VCAM1|1_BMP7	VCAM1|1	BMP7	6.6228	1.63983	-3.548182
VTN_BMP7	VTN	BMP7	6.6567	1.78167	-3.413344
ALCAM|1_CSF2	ALCAM|1	CSF2	1.7869	0.33391	-0.004085
BCAN|1_CSF2	BCAN|1	CSF2	2.7983	2.5311	0.436589
BGN_CSF2	BGN	CSF2	2.7286	3.01887	0.065499
CD44|1_CSF2	CD44|1	CSF2	3.5469	2.92513	0.028383
CDH15_CSF2	CDH15	CSF2	2.2255	3.50206	0.526298
CDH1|1_CSF2	CDH1|1	CSF2	2.7171	0.48191	-0.690993
CDH20_CSF2	CDH20	CSF2	2.5153	0.03235	-0.973126
CDH3|1_CSF2	CDH3|1	CSF2	3.0331	2.29192	0.439825
CDH6|1_CSF2	CDH6|1	CSF2	2.2029	3.2917	0.203855
CDH8_CSF2	CDH8	CSF2	2.274	2.97556	-0.77929
CEACAM6_CSF2	CEACAM6	CSF2	3.0058	0.50689	-0.2052
COL1_CSF2	COL1	CSF2	2.5679	3.10107	-0.159787
COL23A1|1_CSF2	COL23A1|1	CSF2	1.8611	1.88521	-0.241431
COL2A1|2_CSF2	COL2A1|2	CSF2	3.2982	3.54925	0.656022
COL3A1|1_CSF2	COL3A1|1	CSF2	1.9214	3.27109	0.152385
COL4_CSF2	COL4	CSF2	2.342	2.98352	0.796178
COL5A1_CSF2	COL5A1	CSF2	2.615	3.46918	0.482575
DCN|A_CSF2	DCN|A	CSF2	3.0146	2.60037	-0.083676
DSG2_CSF2	DSG2	CSF2	2.5178	1.48191	-0.703827
ECM1|1_CSF2	ECM1|1	CSF2	3.0015	0.72832	-0.9675
ELN|3_CSF2	ELN|3	CSF2	0.6519	3.7752	0.842792
FBN1_CSF2	FBN1	CSF2	2.4967	4.07092	0.456495
FN1|1_CSF2	FN1|1	CSF2	3.064	-0.37134	-0.356117
GAP43|1_CSF2	GAP43|1	CSF2	2.292	1.86995	-0.196848
HA<500kDa_CSF2	HA<500kDa	CSF2	2.2145	1.32116	0.099582
HA>500kDa_CSF2	HA>500kDa	CSF2	2.6596	2.25566	0.391938
ICAM1_CSF2	ICAM1	CSF2	2.8502	1.94223	-0.878692
ITGA10B1_CSF2	ITGA10B1	CSF2	3.7639	-0.09505	-1.36407
ITGA2B1_CSF2	ITGA2B1	CSF2	2.1604	3.04726	-0.464746
ITGA3B1_CSF2	ITGA3B1	CSF2	3.0019	2.91998	0.420833
ITGA4B1_CSF2	ITGA4B1	CSF2	2.7688	3.58101	0.4817
ITGA6B4_CSF2	ITGA6B4	CSF2	2.3061	3.76588	0.394831
ITGA9B1_CSF2	ITGA9B1	CSF2	2.1348	0.90027	-0.553841
ITGAMB2_CSF2	ITGAMB2	CSF2	2.7902	3.15112	0.320597
ITGAVB6_CSF2	ITGAVB6	CSF2	2.6689	3.55316	0.407955
LAMB1_CSF2	LAMB1	CSF2	2.7082	-0.17733	-1.402882
LUM_CSF2	LUM	CSF2	2.2781	1.1523	-0.008393
Laminin3B32_CSF2	Laminin3B32	CSF2	2.1504	2.67432	0.2094
NID1|1_CSF2	NID1|1	CSF2	2.6327	3.09549	0.700232
OMD_CSF2	OMD	CSF2	3.0226	1.40972	-0.737859
PECAM1|Long_CSF2	PECAM1|Long	CSF2	1.6482	2.91602	-0.383994
POSTN|1_CSF2	POSTN|1	CSF2	2.7876	2.47956	-0.471206
SPARC_CSF2	SPARC	CSF2	2.9139	3.34125	0.488728
SPP1|A_CSF2	SPP1|A	CSF2	2.4307	2.41704	0.025313
THBS1|1_CSF2	THBS1|1	CSF2	3.2912	0.57744	-1.224287
TNC|1_CSF2	TNC|1	CSF2	2.0187	1.568	-0.675636
VCAM1|1_CSF2	VCAM1|1	CSF2	3.0508	0.47393	-0.804825
VTN_CSF2	VTN	CSF2	2.6407	2.15739	0.304937
ALCAM|1_CTGF|1	ALCAM|1	CTGF|1	6.3999	1.80083	-3.771663
BCAN|1_CTGF|1	BCAN|1	CTGF|1	6.6182	1.77331	-3.868077
BGN_CTGF|1	BGN	CTGF|1	5.9107	1.4611	-3.507291
CD44|1_CTGF|1	CD44|1	CTGF|1	6.4188	1.9834	-3.779886
CDH15_CTGF|1	CDH15	CTGF|1	6.0627	1.76748	-3.526363
CDH1|1_CTGF|1	CDH1|1	CTGF|1	6.0577	2.21379	-3.701097
CDH20_CTGF|1	CDH20	CTGF|1	6.2862	1.93835	-3.801862
CDH3|1_CTGF|1	CDH3|1	CTGF|1	6.3428	2.07322	-3.722283
CDH6|1_CTGF|1	CDH6|1	CTGF|1	6.7425	1.85085	-3.95522
CDH8_CTGF|1	CDH8	CTGF|1	6.5909	1.82431	-4.013545
CEACAM6_CTGF|1	CEACAM6	CTGF|1	6.439	1.84006	-3.773717
COL1_CTGF|1	COL1	CTGF|1	6.4466	1.90736	-3.901439
COL23A1|1_CTGF|1	COL23A1|1	CTGF|1	6.6152	2.14375	-3.906385
COL2A1|2_CTGF|1	COL2A1|2	CTGF|1	6.13	1.69481	-3.713813
COL3A1|1_CTGF|1	COL3A1|1	CTGF|1	6.1766	2.1747	-3.752649
COL4_CTGF|1	COL4	CTGF|1	6.5366	1.80909	-3.963899
COL5A1_CTGF|1	COL5A1	CTGF|1	6.3708	1.99659	-3.948696
DCN|A_CTGF|1	DCN|A	CTGF|1	6.495	1.44502	-3.810255
DSG2_CTGF|1	DSG2	CTGF|1	6.6058	1.79174	-3.761977
ECM1|1_CTGF|1	ECM1|1	CTGF|1	6.6446	1.82682	-3.976152
ELN|3_CTGF|1	ELN|3	CTGF|1	5.4737	1.38557	-3.708559
FBN1_CTGF|1	FBN1	CTGF|1	6.5685	1.64288	-3.788585
FN1|1_CTGF|1	FN1|1	CTGF|1	6.2029	1.79244	-3.836981
GAP43|1_CTGF|1	GAP43|1	CTGF|1	6.371	1.63716	-3.695708
HA<500kDa_CTGF|1	HA<500kDa	CTGF|1	6.3408	1.7176	-3.766762
HA>500kDa_CTGF|1	HA>500kDa	CTGF|1	6.4045	1.67562	-3.870638
ICAM1_CTGF|1	ICAM1	CTGF|1	6.4599	1.61116	-3.9704
ITGA10B1_CTGF|1	ITGA10B1	CTGF|1	6.4823	1.73105	-3.819857
ITGA2B1_CTGF|1	ITGA2B1	CTGF|1	6.5338	1.81015	-3.850609
ITGA3B1_CTGF|1	ITGA3B1	CTGF|1	6.3173	1.62517	-3.910753
ITGA4B1_CTGF|1	ITGA4B1	CTGF|1	6.3008	1.58776	-3.808302
ITGA6B4_CTGF|1	ITGA6B4	CTGF|1	6.0331	1.53358	-3.510437
ITGA9B1_CTGF|1	ITGA9B1	CTGF|1	5.8249	1.72042	-3.555167
ITGAMB2_CTGF|1	ITGAMB2	CTGF|1	6.5141	1.77455	-3.89015
ITGAVB6_CTGF|1	ITGAVB6	CTGF|1	6.5175	2.07408	-3.992684
LAMB1_CTGF|1	LAMB1	CTGF|1	6.4863	1.63323	-3.703375
LUM_CTGF|1	LUM	CTGF|1	6.4284	1.51301	-3.772787
Laminin3B32_CTGF|1	Laminin3B32	CTGF|1	6.5594	1.57947	-4.008952
NID1|1_CTGF|1	NID1|1	CTGF|1	3.6511	1.31351	-3.285176
OMD_CTGF|1	OMD	CTGF|1	5.9633	1.48486	-3.677195
PECAM1|Long_CTGF|1	PECAM1|Long	CTGF|1	6.2325	1.82051	-3.574829
POSTN|1_CTGF|1	POSTN|1	CTGF|1	5.8949	2.198	-3.619037
SPARC_CTGF|1	SPARC	CTGF|1	6.4041	1.49347	-3.775106
SPP1|A_CTGF|1	SPP1|A	CTGF|1	6.3256	1.51832	-3.825856
THBS1|1_CTGF|1	THBS1|1	CTGF|1	5.8456	2.01578	-3.228928
TNC|1_CTGF|1	TNC|1	CTGF|1	6.3469	1.75318	-3.849559
VCAM1|1_CTGF|1	VCAM1|1	CTGF|1	5.4737	1.90206	-3.545555
VTN_CTGF|1	VTN	CTGF|1	6.4679	1.78734	-3.924303
ALCAM|1_CXCL1	ALCAM|1	CXCL1	6.6018	1.98125	-3.855977
BCAN|1_CXCL1	BCAN|1	CXCL1	6.3537	1.28694	-3.57268
BGN_CXCL1	BGN	CXCL1	6.3641	2.28557	-3.608013
CD44|1_CXCL1	CD44|1	CXCL1	6.4678	1.76915	-3.84146
CDH15_CXCL1	CDH15	CXCL1	6.3334	1.601	-3.549267
CDH1|1_CXCL1	CDH1|1	CXCL1	6.2359	1.73431	-3.624282
CDH20_CXCL1	CDH20	CXCL1	6.539	1.69429	-3.829121
CDH3|1_CXCL1	CDH3|1	CXCL1	6.4771	1.77425	-3.647104
CDH6|1_CXCL1	CDH6|1	CXCL1	6.6839	1.57563	-3.931819
CDH8_CXCL1	CDH8	CXCL1	6.4247	1.78996	-3.632563
CEACAM6_CXCL1	CEACAM6	CXCL1	6.5235	1.39745	-3.588825
COL1_CXCL1	COL1	CXCL1	6.4871	1.73509	-3.777008
COL23A1|1_CXCL1	COL23A1|1	CXCL1	6.6316	1.69626	-4.021203
COL2A1|2_CXCL1	COL2A1|2	CXCL1	6.5132	1.60699	-3.755514
COL3A1|1_CXCL1	COL3A1|1	CXCL1	6.4149	1.48159	-3.775986
COL4_CXCL1	COL4	CXCL1	6.1769	1.77354	-3.757661
COL5A1_CXCL1	COL5A1	CXCL1	6.5338	1.8035	-3.708099
DCN|A_CXCL1	DCN|A	CXCL1	6.7045	1.69252	-3.933284
DSG2_CXCL1	DSG2	CXCL1	6.4272	1.81385	-3.600696
ECM1|1_CXCL1	ECM1|1	CXCL1	6.1008	1.57236	-3.571326
ELN|3_CXCL1	ELN|3	CXCL1	5.4771	1.29311	-3.438691
FBN1_CXCL1	FBN1	CXCL1	6.6015	1.70667	-3.651794
FN1|1_CXCL1	FN1|1	CXCL1	6.3843	1.44719	-3.677801
GAP43|1_CXCL1	GAP43|1	CXCL1	6.5769	1.74885	-3.549807
HA<500kDa_CXCL1	HA<500kDa	CXCL1	6.4125	1.55747	-3.601221
HA>500kDa_CXCL1	HA>500kDa	CXCL1	6.5921	1.73546	-3.845745
ICAM1_CXCL1	ICAM1	CXCL1	6.3307	1.53089	-3.718824
ITGA10B1_CXCL1	ITGA10B1	CXCL1	6.8946	1.90868	-3.90002
ITGA2B1_CXCL1	ITGA2B1	CXCL1	6.2904	1.67438	-3.310802
ITGA3B1_CXCL1	ITGA3B1	CXCL1	6.1406	1.86883	-3.733271
ITGA4B1_CXCL1	ITGA4B1	CXCL1	6.2759	1.69481	-3.502294
ITGA6B4_CXCL1	ITGA6B4	CXCL1	6.2568	1.87951	-3.472955
ITGA9B1_CXCL1	ITGA9B1	CXCL1	6.1409	1.51514	-3.378304
ITGAMB2_CXCL1	ITGAMB2	CXCL1	6.35	1.65323	-3.50163
ITGAVB6_CXCL1	ITGAVB6	CXCL1	6.1581	1.63631	-3.503302
LAMB1_CXCL1	LAMB1	CXCL1	6.2686	1.4805	-3.619366
LUM_CXCL1	LUM	CXCL1	6.401	1.37689	-3.680068
Laminin3B32_CXCL1	Laminin3B32	CXCL1	6.3933	1.83713	-3.676209
NID1|1_CXCL1	NID1|1	CXCL1	4.9733	1.91282	-2.80531
OMD_CXCL1	OMD	CXCL1	6.1683	1.70287	-3.511355
PECAM1|Long_CXCL1	PECAM1|Long	CXCL1	6.4902	1.58338	-3.841281
POSTN|1_CXCL1	POSTN|1	CXCL1	6.2941	1.80245	-3.807283
SPARC_CXCL1	SPARC	CXCL1	6.803	1.53809	-3.883836
SPP1|A_CXCL1	SPP1|A	CXCL1	6.6645	1.61454	-3.806912
THBS1|1_CXCL1	THBS1|1	CXCL1	6.1775	2.43226	-3.512444
TNC|1_CXCL1	TNC|1	CXCL1	6.6271	1.58861	-3.760946
VCAM1|1_CXCL1	VCAM1|1	CXCL1	6.6065	1.95344	-3.615034
VTN_CXCL1	VTN	CXCL1	6.194	1.8139	-3.578261
ALCAM|1_CXCL12|Alpha	ALCAM|1	CXCL12|Alpha	6.7793	1.6059	-4.096476
BCAN|1_CXCL12|Alpha	BCAN|1	CXCL12|Alpha	6.6079	1.58994	-3.798547
BGN_CXCL12|Alpha	BGN	CXCL12|Alpha	6.597	1.5274	-3.914453
CD44|1_CXCL12|Alpha	CD44|1	CXCL12|Alpha	6.5986	1.14664	-3.730896
CDH15_CXCL12|Alpha	CDH15	CXCL12|Alpha	6.3978	1.5249	-3.853748
CDH1|1_CXCL12|Alpha	CDH1|1	CXCL12|Alpha	6.6774	1.41177	-3.882427
CDH20_CXCL12|Alpha	CDH20	CXCL12|Alpha	6.5992	1.58025	-3.994153
CDH3|1_CXCL12|Alpha	CDH3|1	CXCL12|Alpha	6.1864	1.88706	-3.736696
CDH6|1_CXCL12|Alpha	CDH6|1	CXCL12|Alpha	6.6956	1.62211	-3.959959
CDH8_CXCL12|Alpha	CDH8	CXCL12|Alpha	6.8187	1.70604	-4.088832
CEACAM6_CXCL12|Alpha	CEACAM6	CXCL12|Alpha	7.1234	1.6075	-4.217065
COL1_CXCL12|Alpha	COL1	CXCL12|Alpha	7.0323	1.39261	-4.205387
COL23A1|1_CXCL12|Alpha	COL23A1|1	CXCL12|Alpha	6.5527	1.53409	-3.967296
COL2A1|2_CXCL12|Alpha	COL2A1|2	CXCL12|Alpha	7.0714	1.79761	-4.110757
COL3A1|1_CXCL12|Alpha	COL3A1|1	CXCL12|Alpha	6.933	1.78511	-3.975239
COL4_CXCL12|Alpha	COL4	CXCL12|Alpha	6.8062	1.70783	-4.10077
COL5A1_CXCL12|Alpha	COL5A1	CXCL12|Alpha	6.8938	1.53592	-4.157643
DCN|A_CXCL12|Alpha	DCN|A	CXCL12|Alpha	6.781	1.4854	-4.029263
DSG2_CXCL12|Alpha	DSG2	CXCL12|Alpha	7.1604	1.47835	-3.922618
ECM1|1_CXCL12|Alpha	ECM1|1	CXCL12|Alpha	7.1496	1.7344	-4.111924
ELN|3_CXCL12|Alpha	ELN|3	CXCL12|Alpha	6.8807	1.35119	-3.995569
FBN1_CXCL12|Alpha	FBN1	CXCL12|Alpha	6.9835	1.62621	-3.984176
FN1|1_CXCL12|Alpha	FN1|1	CXCL12|Alpha	6.8117	1.42017	-3.955662
GAP43|1_CXCL12|Alpha	GAP43|1	CXCL12|Alpha	6.8688	1.43332	-3.906587
HA<500kDa_CXCL12|Alpha	HA<500kDa	CXCL12|Alpha	6.7518	1.46694	-3.957284
HA>500kDa_CXCL12|Alpha	HA>500kDa	CXCL12|Alpha	6.9703	1.75441	-3.982409
ICAM1_CXCL12|Alpha	ICAM1	CXCL12|Alpha	6.7379	1.45336	-3.746739
ITGA10B1_CXCL12|Alpha	ITGA10B1	CXCL12|Alpha	6.6741	1.52632	-3.756302
ITGA2B1_CXCL12|Alpha	ITGA2B1	CXCL12|Alpha	6.9817	1.32536	-4.01963
ITGA3B1_CXCL12|Alpha	ITGA3B1	CXCL12|Alpha	6.6187	1.61511	-3.84899
ITGA4B1_CXCL12|Alpha	ITGA4B1	CXCL12|Alpha	7.0319	1.4908	-4.025146
ITGA6B4_CXCL12|Alpha	ITGA6B4	CXCL12|Alpha	6.495	1.81753	-3.747881
ITGA9B1_CXCL12|Alpha	ITGA9B1	CXCL12|Alpha	6.6734	1.26823	-4.0178
ITGAMB2_CXCL12|Alpha	ITGAMB2	CXCL12|Alpha	6.9782	1.44862	-4.166374
ITGAVB6_CXCL12|Alpha	ITGAVB6	CXCL12|Alpha	6.1674	1.30027	-3.775579
LAMB1_CXCL12|Alpha	LAMB1	CXCL12|Alpha	6.4404	1.47472	-3.857749
LUM_CXCL12|Alpha	LUM	CXCL12|Alpha	6.8428	1.86041	-4.032885
Laminin3B32_CXCL12|Alpha	Laminin3B32	CXCL12|Alpha	6.7324	1.66568	-4.053608
NID1|1_CXCL12|Alpha	NID1|1	CXCL12|Alpha	5.6395	1.45032	-3.542324
OMD_CXCL12|Alpha	OMD	CXCL12|Alpha	6.4494	1.7001	-3.725425
PECAM1|Long_CXCL12|Alpha	PECAM1|Long	CXCL12|Alpha	6.9042	1.65798	-3.968531
POSTN|1_CXCL12|Alpha	POSTN|1	CXCL12|Alpha	6.6176	1.48541	-3.85087
SPARC_CXCL12|Alpha	SPARC	CXCL12|Alpha	7.0056	1.55901	-4.050519
SPP1|A_CXCL12|Alpha	SPP1|A	CXCL12|Alpha	6.6452	1.68135	-3.980002
THBS1|1_CXCL12|Alpha	THBS1|1	CXCL12|Alpha	6.6358	1.67566	-3.773653
TNC|1_CXCL12|Alpha	TNC|1	CXCL12|Alpha	6.7658	1.67596	-3.905632
VCAM1|1_CXCL12|Alpha	VCAM1|1	CXCL12|Alpha	7.0927	1.56912	-4.146334
VTN_CXCL12|Alpha	VTN	CXCL12|Alpha	6.9486	1.75905	-4.145886
ALCAM|1_CXCL12|Beta	ALCAM|1	CXCL12|Beta	6.4197	1.52023	-3.909919
BCAN|1_CXCL12|Beta	BCAN|1	CXCL12|Beta	6.2592	1.72122	-3.829881
BGN_CXCL12|Beta	BGN	CXCL12|Beta	6.3702	1.745	-3.829076
CD44|1_CXCL12|Beta	CD44|1	CXCL12|Beta	6.7157	1.8027	-4.09773
CDH15_CXCL12|Beta	CDH15	CXCL12|Beta	6.8529	1.78101	-3.990385
CDH1|1_CXCL12|Beta	CDH1|1	CXCL12|Beta	6.0216	1.50703	-3.815247
CDH20_CXCL12|Beta	CDH20	CXCL12|Beta	6.4033	1.7574	-3.896407
CDH3|1_CXCL12|Beta	CDH3|1	CXCL12|Beta	6.3262	1.51059	-3.721902
CDH6|1_CXCL12|Beta	CDH6|1	CXCL12|Beta	6.325	1.16771	-3.82922
CDH8_CXCL12|Beta	CDH8	CXCL12|Beta	6.3928	1.92894	-3.770324
CEACAM6_CXCL12|Beta	CEACAM6	CXCL12|Beta	6.3516	1.68907	-3.670492
COL1_CXCL12|Beta	COL1	CXCL12|Beta	6.2312	1.42426	-3.88725
COL23A1|1_CXCL12|Beta	COL23A1|1	CXCL12|Beta	6.3881	1.38951	-4.110128
COL2A1|2_CXCL12|Beta	COL2A1|2	CXCL12|Beta	6.3466	1.62059	-3.970351
COL3A1|1_CXCL12|Beta	COL3A1|1	CXCL12|Beta	6.5793	1.68878	-3.96888
COL4_CXCL12|Beta	COL4	CXCL12|Beta	6.434	1.74166	-3.896469
COL5A1_CXCL12|Beta	COL5A1	CXCL12|Beta	6.2648	1.74159	-3.852853
DCN|A_CXCL12|Beta	DCN|A	CXCL12|Beta	6.0017	1.34604	-3.779214
DSG2_CXCL12|Beta	DSG2	CXCL12|Beta	6.5872	1.71262	-3.950172
ECM1|1_CXCL12|Beta	ECM1|1	CXCL12|Beta	6.4559	1.72306	-3.86652
ELN|3_CXCL12|Beta	ELN|3	CXCL12|Beta	6.3102	1.68416	-4.031621
FBN1_CXCL12|Beta	FBN1	CXCL12|Beta	6.6524	1.82976	-4.0723
FN1|1_CXCL12|Beta	FN1|1	CXCL12|Beta	6.5103	1.86117	-3.79736
GAP43|1_CXCL12|Beta	GAP43|1	CXCL12|Beta	6.4149	1.84796	-3.939802
HA<500kDa_CXCL12|Beta	HA<500kDa	CXCL12|Beta	6.5305	1.5777	-3.995201
HA>500kDa_CXCL12|Beta	HA>500kDa	CXCL12|Beta	6.128	1.7615	-3.750734
ICAM1_CXCL12|Beta	ICAM1	CXCL12|Beta	6.5737	1.47922	-3.909592
ITGA10B1_CXCL12|Beta	ITGA10B1	CXCL12|Beta	6.2494	1.95277	-3.914908
ITGA2B1_CXCL12|Beta	ITGA2B1	CXCL12|Beta	6.6893	1.66848	-3.886455
ITGA3B1_CXCL12|Beta	ITGA3B1	CXCL12|Beta	6.1381	1.69473	-3.999979
ITGA4B1_CXCL12|Beta	ITGA4B1	CXCL12|Beta	6.1817	1.36685	-3.753814
ITGA6B4_CXCL12|Beta	ITGA6B4	CXCL12|Beta	6.4987	1.99869	-4.041518
ITGA9B1_CXCL12|Beta	ITGA9B1	CXCL12|Beta	6.2852	1.84497	-3.85942
ITGAMB2_CXCL12|Beta	ITGAMB2	CXCL12|Beta	6.3639	1.91626	-3.783405
ITGAVB6_CXCL12|Beta	ITGAVB6	CXCL12|Beta	6.5742	1.80129	-4.039606
LAMB1_CXCL12|Beta	LAMB1	CXCL12|Beta	6.6416	1.65514	-4.04454
